?^,what's up?
?up,what's up?
'bout,about 
*4u,Kiss for you
*s*,smile
<3,love
<3,love
1ab,wannabe
1daful,wonderful
1dering,wondering
1nce,once
1sec,one second
2b,to be
2b4u,too bad for you
2bad4u2,too bad for you too 
2bh,to be honest
2day,today
2ditd,today is the day
2ez,too easy
2o4s,too old for sex
2qt,too cute
2tali,totally
2tm,to the max
2trd,too tired
2u2,To you too
4e&e,forever and ever
4eva,forever
4ever,forever
4evr,for ever
4evs,forever
4fs,for fuck's sake
4u,for you
4umb,For You Maybe
4us,for us
4ward,forward
4wd,forward
4yeo,For Your Eyes Only
53x,sex
9t,night
a**,ass
a/s/l,age,sex,location
a/s/l/p,age/sex/location/picture
a/s/l/r,age, sex, location, race
a&f,always and forever
aabf,as a best friend
aaf,as a friend
aamof,as a matter of fact
aatf,always and totally forever
aatw,all around the world
absnt,absent
acgaf,Absolutely couldn't give a fuck
adl,all day long
adn,any day now
aeap,as early as possible
afaiaa,As Far As I Am Aware
afaic,as far as I'm concerned
afaicr,As Far As I Can Remember
afaics,as far as I can see
afaict,as far as I can tell
afaik,as far as I know
afair,as far as I recall
afaiu,As far as I understand
alaytm,as long as you tell me
alol,actually laughing out loud
alot,a lot
alright,all right
alrite,Alright
alrt,alright
alryt,alright
ama,ask me anything
amf,adios motherfucker
amiic,ask me if i care
aml,All My Love
anl,all night long
anlsx,Anal Sex
anon,anonymous
any1,Anyone
anywaz,anyways
aqap,as quick as possible
ar,are
ase,age, sex, ethnicity
ashl,asshole
ashole,asshole
asl,age, sex, location
asshle,asshole
atb,all the best
b-cuz,because
b-day,birthday
b.f.f.,best friend forever
b'day,birthday
b@,banned
b/t,between
b/w,between
b&,banned
b00n,new person
b00t,boot
b0rked,broken
b1tch,b***h
b2b,business to business
b2u,back to you
b2w,Back to work
b3,be
b4,before
b4n,bye for now
b4u,before you
b8,bait
b82rez,Batteries
b8rez,Batteries
bah,I don't really care
bau,back at you
bb,bye bye
bbi,Baby
bbiab,be back in a bit
bbiaf,be back in a few
bbialb,Be back in a little bit
bbiam,be back in a minute
bbias,be back in a second
bbiaw,be back in a while
bbifs,be back in a few seconds
bbilb,be back in a little bit
bbilfm,be back in like five minutes
bbim,Be Back In Minute
bbk,be back, ok?
bbl,be back later
bbl8a,Be Back Later
bblig,Be back later...i guess
bbm,BlackBerry Messenger
bbml,be back much later
bbn,be back never
bbol,be back online later
bbp,Banned by parents
bbq,be back quick
bbrs,be back really soon
bbs,be back soon
bbsts,be back some time soon
bbt,be back tomorrow
bbtn,be back tonite
bbvl,Be Back Very Later
bbw,be back whenever
bbwb,best buddy with boobs
bbwe,be back whenever
bbwl,be back way later
bby,baby
bbz,babes
bc,because
bch,bitch
bck,back
bcnu,be seeing you
bcuz,because
bd,birthday
bday,birthday
be4,before
beatch,bitch
bebe,baby
becuse,because
becuz,because
beech,bitch
beeoch,bitch
beezy,bitch
beotch,bitch
besos,kisses
bestie,best friend
betch,bitch
betcha,bet you
bettr,better
bezzie,best friend
bf,boyfriend
bf's,boyfriend's
bf+gf,boyfriend and girlfriend
bf4e,best friends for ever
bf4eva,Best Friends forever
bf4l,best friends for life
bff,best friend forever
bffa,best friends for always
bffaa,Best Friends Forever And Always
bffae,Best Friends Forever And Ever
bffaw,best friends for a while
bffe,Best friends forever
bffeae,Best Friend For Ever And Ever
bffene,Best Friends For Ever And Ever
bffl,best friends for life
bffn,best friends for now
bfitww,best friend in the whole world
bfn,bye for now
bfs,Boyfriends
bh,bloody hell
biaf,Back In A Few
bich,bitch
bigd,big deal
bilu,baby i love you
bion,Believe it or not.
biz,Business
bizatch,bitch
bizi,Busy
biznatch,bitch
biznitch,bitch
bizzle,bitch
bj,blowjob
bka,better known as
bl,bad luck
bleve,believe
blg,blog
blh,bored like hell
bling-bling,jewelry
blj,blowjob
bljb,Blowjob
bm&y,between you and me
bm4l,best mates for life
bma,best mates always
bmf,be my friend
bmfe,best mates forever
bmfl,best mates for life
boffum,Both of them
boi,boy
bonr,boner
boomm,bored out of my mind
botoh,but on the other hand
bout,about
bovered,bothered
brd,bored
bro,brother
bros,brothers
bsx,bisexual
bsxc,be sexy
btb,by the by
btch,bitch
btfl,beautiful
btr,better
c,see
c'mon,Come On
c@,cat
cam,camera
cawk,cock
cex,sex
cexy,sexy
cfm,come fuck me
cg,Congratulations d**n
cgaf,couldn't give a fuck
cgf,cute guy friend
ch@,chat
champs,champions
char,character
cheezburger,cheeseburger
chik,chick
cig,cigarette
cigs,cigarettes
cless,clanless
clm,Cool Like Me
clt,Cool Like That
cluebie,clueless newbie
cmbo,combo
cmon,Come on
cmplcdd,complicated
cmplte,complete
cmptr,computer
cmt,comment
cmw,cutting my wrists
cn,can
cnc,Command and Conquer
cnt,can't
col,crying out loud
comin',coming
comnt,comment
comp,Computer
compy,computer
congrats,congratulations
contrib,contribution
convo,conversation
coo,cool
cood,could
coz,because
cptn,captain
cpu,computer
cpy,copy
cr8,crate
crp,crap
crzy,crazy
cskr,cock sucker
cu,goodbye
cu2nit,see you tonight
cu46,see you for sex
culd,Could
cunt,vagina
cuom,see you on monday
cuple,couple
curn,calling you right now
cut3,cute
d/w,don't worry
d00d,dude
d1ck,cock
d8,date
da,the
dat,that
dats,that's
dawg,Friend
deets,details
def,definitely
defs,definetly
dewd,Dude
dh,dickhead
dhac,Don't have a clue
dic,do i care
dick,cock
din,didn't
din't,didn't
diy,do it yourself
dno,don't know
dnt,don't
dnw,Do not want
doa,dead on arrival
dob,date of birth
dod,Day of Defeat
dogg,friend
doin,doing
doin',doing
don,denial of normal
doncha,Don't you
donno,don't know
dont,don't
dontcha,don't you
dood,dude
doodz,dudes
drc,don't really care
drm,dream
drood,druid
dsided,decided
ducy,do you see why
dugi,do you get it?
dugt,did you get that?
duk,did you know
dum,dumb
dun,don't
dunna,i don't know
dunno,I don't know
duno,don't know
dupe,duplicate
dw,don't worry
dwi,deal with it
dya,Do you
e.g.,example
e4u2s,easy for you to say
ef-ing,fucking
ef,fuck
eleo,Extremely Low Earth Orbit
ello,hello
elo,hello
emo,emotional
enat,every now and then
enit,isn't it
enof,enough
enuf,enough
enuff,enough
eob,End of Business
eoc,end of conversation
eod,End of day
eom,end of message
eos,end of story
eot,end of transmission
eotw,end of the world
esc,escape
ev1,everyone
eva,ever
evaa,ever
evar,ever
every1,everyone
evn,even
evr,ever
evry,every
evry1,every one
evrytin,everything
ex-bf,Ex-Boy Friend
ex-gf,Ex-Girl Friend
exp,experience
ey,hey
eyez,eyes
ez,Easy
ezi,easy
f-ing,fucking
f.b.,facebook
f.m.l.,fuck my life
f.u.,fuck you
f'n,fucking
f@,fat
f**k,fuck
f/o,fuck off
f&e,forever and ever
f#cking,fucking
f00k,fuck.
f2f,face to face
f2p,free to play
f2t,Free to talk
f4c3,face
f4eaa,friends forever and always
f4f,female for female
f4m,female for male
f8,fate
f9,fine
fa-q,fuck you
faa,forever and always
fab,fabulous
faggit,faggot
fah,Funny as hell
faic,For All I Care
fam,family
fap,masturbate
fapping,masterbating
faq,frequently asked question
farg,fuck
fav,Favorite
fave,favorite
fawk,fuck
fbk,facebook
fck,fuck
fckd,fucked
fckin,fucking
fcking,fucking
fcku,fuck you
fcol,for crying out loud
fcuk,fuck
feck,fuck
ff,friendly fire
ffa,free for all
ffcl,falling from chair laughing
ffs,for fuck's sake
fft,food for thought
ffxi,Final Fantasy 11
fg,fucking gay
fgs,for God's sake
fgssu,For Gods sake shut up
fgt,faggot
fk,fuck
fka,formerly known as
fkd,fucked
fker,fucker
fkin,fucking
fking,fucking
fkn,fucking
fku,fuck you
flamer,angry poster
flames,angry comments
flicks,pictures
floabt,for lack of a better term
fm,fuck me
fmah,fuck my ass hole
fmao,freezing my ass of
fml,fuck my life
fnci,fancy
fnny,funny
fny,funny
fo sho,for sure
fo,fuck off
focl,Falling Off Chair Laughing.
fofl,fall on the floor laughing
foia,freedom of information act
fol,farting out loud
folo,Follow
foo,fool
foocl,falls out of chair laughing
fook,fuck
fst,fast
ftk,For the Kill
fucken,fucking
fucktard,fucking retard
fuctard,fucking retard
fudie,fuck you and die
fugly,fucking ugly
fuh-q,fuck you
fuhget,forget
fuk,fuck
fukin,fucking
fukk,fuck
fukkin,fucking
fukn,fucking
fukr,fucker
fulla,Full of
fumfer,fuck you mother fucker
funee,funny
funner,more fun
funy,funny
fuq,fuck you
fus,fuck yourself
fut,fuck You Too
fuu,fuck you up
fux,fuck
fuxing,fucking
fuxor,fucker
fuxored,fucked
fvck,fuck
fwd,forward
fxe,foxy
fy,fuck you
g'nite,good night
g@y,gay
g/f,girlfriend
g/g,got to go
g0,go
g1,good one
g2,go to
g2h,go to hell
g2hb,go to hell bitch
g3y,gay
g4u,good for you
g4y,good for you
g8,gate
g9,good night
ga,go ahead
gai,gay
gangsta,gangster
gank,kill
gb,Go back
gb2,go back to
gbu,god bless you
gby,good bye
gd,good
getcha,get you
geto,ghetto
gewd,good
gey,gay
gf,girlfriend
gg,good game
ghei,Gay
ghey,gay
gimme,give me
gimmie,give me
gitar,guitar
giv,give
giyf,google is your friend
gj,good job
gm,good morning
gma,grandma
gng,going
gng2,going to
gnight,good night
gnite,good night
goin,going
gona,Gonna
gonna,going to
good9,goodnite
gotcha,got you
gotta,got to
gr8,great
gr8t,great
grats,congratulations
gratz,congratulations
grl,girl
grmbl,grumble
grog,beer
grrl,Girl
gsta,Gangster
gt,get
gud,good
gudd,good
gurl,girl
gurlz,girls
h&k,hugs and kisses
h+k,hugs and kisses
h2gtb,have to go to the bathroom
h2o,water
h2sys,hope to see you soon
h3y,hey
h4x,Hacks
h4x0r,hacker
h4xor,hacker
h4xr,hacker
h4xrz,hackers
h4xx0rz,hacker
h4xxor,hacker
h8,hate
h80r,hater
h82sit,hate to say it
h83r,hater
h8ed,hated
h8er,hater
h8r,hater
h8red,Hatred
h8s,hates
h8t,hate
h8t0r,hater
h8t3r,hater
h8te,hate
h8tr,hater
h8u,I Hate You
hago,have a good one
hai,hello
hait,hate
hak,here's a kiss
hammrd,hammered
han,how about now
hau,How Are You
hav,have
havnt,haven't
hawf,Husband and Wife forever
hawt,hot
hawtie,hottie
hax,Hacks
hayd,how are you doing
hb,hurry back
hc,how come
hcbt1,he could be the one
hcib,how can it be
hcihy,how can I help you
hdop,Help Delete Online Predators
hdu,how dare you
hdydi,How do you do it
hdydt,how did you do that
he's,he is
heh,haha
hella,very
heya,hey
heyt,hate
heyy,hello
heyya,hello
hf,have fun
hfn,Hell fucking no
hfs,holy fucking shit!
hfwt,have fun with that
hhyb,how have you been
hi2u,hello
hi2u2,hello to you too
hiet,height
hiik,Hell If I Know
hijack,start an off topic discussion
hith,how in the hell
hiya,hello 
hj,hand job
hla,Hot lesbian action
hlb,horny little bastard
hld,hold
hldn,hold on
hldon,hold on
hll,Hell
hlm,he loves me
hlo,hello
hlp,help
hly,holy
hlysht,Holy shit
hmfic,head mother fucker in charge
hml,hate my life
hmoj,holy mother of jesus
hng,horny net geek
hngry,hungry
ho,hold on
hom,home
homey,Friend
homie,good friend
homo,homosexual
hoopty,broke down automobile
hott,hot
howdey,hello
howz,hows
hpb,high ping bastard
hpoa,Hot Piece of ass
hppy,Happy
hpy,happy
hpybdy,happy birthday
hr,hour
hre,here
hrny,horny
hrs,hours
htf,how the fuck
hth,hope that helps
htr,hater
hu,Hey you
hubby,husband
hud,Heads Up Display
huggle,hug and cuddle
hugz,hugs
hun,honey
hv,have
hve,have
hvnt,haven't
hw,homework
hw/hw,help me with homework 
hwg,here we go
hwga,here we go again
hwik,how would i know
hwk,homework
hwmbo,he who must be obeyed
hwmnbn,he who must not be named
hwms,hot wild monkey sex
hwu,hey what's up
hwz,how is
hxc,hardcore
hy,hell yeah
hyb,how you been
hyg,here you go
hyk,how you know
i c,i see
i'll,i will
i'm,i am
i<3 u,i love you
i<3u,I love you
i8,alright
i8u,i hate you
iag,it is all good
iah,i am horny
iai,i am interested
ic,I see
icu,i see you
icw,I care why?
id10t,idiot
idby,I Don't Believe You
idc,I don't care
idjit,idiot
idonno,i do not know
idot,idiot
idunno,i do not know
idw2,I don't want to
iff,if and only if
ight,alright
igu,i give up
ih8,i hate
ih8tu,i hate you
ih8u,I hate you
ih8usm,i hate you so much
ih8y,I hate you
ihy,i hate you
ihya,i hate you all
iigh,alright
iight,alright
iiok,is it okay
ijit,idiot
ik,i know
iki,i know it
ikm,I know man
ikr,I know really
ikt,i knew that
ili,i love it
imm,instant message me
imma,I'm going to
in2,into
inb4,in before
inbd,it is no big deal
incld,include
incrse,increase
inhwh,I need homework help
init,isn't it
ino,I know
invu,I envy you
iow,in other words
irdk,I really don't know
iso,In Search Of
iss,im so sorry
it's,it is
ita,I Totally Agree
itc,in that case
itd,in the dark
ite,alright
itk,in the know
itn,I think not
itz,it is
itzk,it is ok
iucmd,if you catch my drift
iukwim,if you know what i mean
iunno,I don't know
iuno,i dunno
ive,i have
iwc,In Which Case
iwg,it was good
iwjk,i was just kidding
iwlu4e,I will love you for ever
iwuwh,i wish you were here 
iyam,if you ask me
iyc,if you can
iyd,In Your Dreams
iydhantsdsaaa,If you don't have anything nice to say don't say anything at all
iydmma,if you don't mind me asking
iyf,In your face
iyflg,If you are Feeling Less Generous
iygm,if you get me
iykwim,if you know what I mean
iym,I am your man
iyo,in your opinion
iyq,I like you
iyss,if you say so
iyswim,if you see what I mean
iywt,if you want to
iz,is
j00,you
j00r,your
j2bs,just to be sure
j2c,just too cute
j2f,just too funny
j2luk,just to let you know
j2lyk,just to let you know
j4f,just for fun
j4g,just for grins
j4l,just for laughs
j4u,just for you
jas,just a second
jc,just curious
jebus,Jesus
jf,just fooling
jff,just for fun
jfr,Just for reference
jftr,just for the record
jfu,just for you
jh,Just hanging
jhm,just hold me
jho,just hanging out
jic,just in case
jit,just in time
jizz,semen
jk,just kidding
jka,just kidding around
jking,joking
jkl,just kidding loser
jklol,Just Kidding Laughing Out Loud
jkn,joking
jks,jokes
jkz,jokes
jlt,just like that
joo,you
jooc,just out of curiosity
jooce,Juice
joor,your
jp,just playing
js,just saying
jsing,just saying
jst,just
jsuk,just so you know
jsun,Just so you know
jsut,just
jtbs,Just To Be Sure
jtc,Join the club
jtty,just to tell you
jus,just
juss,just
juz,just
juzt,just
jw,just wondering
k,ok
k3wl,cool
kah,kisses and hugs
kaw,kick ass work
kay,okay
kb,KiloBite
kcco,keep calm chive on
kek,laughing out loud
kewel,cool
kewl,cool
khuf,know how you feel
kiled,killed
kinda,kind of
kit,keep in touch
kitteh,kitten
kky,kinky
kl,cool
kml,Killing Myself Laughing
kmn,kill me now
kmp,kill me please
kmsl,killing myself laughing
kmswl,killing myself with laughter
knackered,drunk
knewb,new player
knn,fuck your mother
kno,know
knw,know
ko,knock out
kol,kiss on lips
koo,cool
kool,cool
kss,kiss
kssd,kissed
kt,keep talking
kthxmn,Ok Thanks Man
kthz,ok thanks
ktnx,Okay and Thanks
kuhl,cool
kul,cool
kute,cute
kutgw,Keep Up The good Work
kuwl,cool
kwik,quick
kwim,Know What I Mean
kwis,Know what I'm saying?
kwit,quit
kwiz,quiz
kwl,cool
l@u,laughing at you
l0lz,laugh out loud
l8,late
l84skool,late for school
l8a,later
l8er,later
l8ers,Later
l8r,see you later
l8rs,laters
l8rz,later
l8s,later
l8t,later
l8ta,later
l8ter,later
l8tr,later
lak,love and kisses
lal,laughing a little
lalol,lots and lots of laughs
lappy,Laptop
lat,laugh at that
lata,later
latr,Later
lau,laugh at you
lawd,lord
legit,legitimate
leik,like
leme,let me
lemme,let me
lesbo,lesbian
lez,Lesbian
lezbean,lesbian
lezbo,lesbian
lezzzie,lesbian
lf,looking for
lgo,life goes on
liec,like i even care
liek,like
liekz,likes
lifo,last in first out
lik,like
lil,little
liol,laugh insanely out loud
liv,live
lj,live journal
lk,like
lke,like
llf,laugh like fuck
lmao,laughing my ass off
lmb,lick my balls
lmbo,laughing my butt off
loi,laughing on the inside
lol,laughing out loud
lol'd,laughed out loud
lol@u,Laugh out loud at you
lol2u,Laugh out loud to you
lolarotf,laughing out loud and rolling on the floor
lolaw,laugh out loud at work
lolbs,laugh out loud but seriously
lolcano,laugh out loud
lolci,laughing out loud, crying inside
lolcity,the whole city laughs out loud
lold,laughed out loud
lolees,laugh out loud
lolerz,laugh out loud
lolf,lots of love forever
lolin,laughing out loud
lolio,laugh out loud I own
lollam,Laughing Out Loud Like A Maniac
lollercaust,an extreme event of hilarity
lollercoaster,laugh out loud (a lot)
lolm,laugh out loud man
loln,laught out loud... not
lolngs,laghing out loud never gonna stop
lolocost,laugh out loud
lolol,saying "lol" out loud
lololz,laugh out loud
lols,laugh out loud 
lolvq,laugh out loud very quietly
lolz,laugh out loud
lomg,like oh my god
loml,love of my life
lomy,love of my life
loomm,laughing out of my mind
lorl,laugh out real loud
lorrl,laugh out really really loud
lotf,laughing on the floor
loti,laughing on the inside
loto,laughing on the outside
lov,love
lovu,love you
loxen,laughing out loud
loxxen,laughing out loud
lozer,loser
lsr,loser
lt,long time
ltr,later
ltywl,love the way you lie
lu2,love you too
luf,love
luff,Love
luk,look
lukin,looking
lul,love you lots
lulz,Laughing out loud.
lusm,love you so much
luv,love
luver,lover
luvuvm,love you very much
luvv,love
luzar,Loser
lv,love
lve,Love
lvl,level
lvn,loving
lvr,lover
lvya,love you
ly,love you
ly2,love you to
lya,love you always
lyao,laugh your ass off
lybo,laugh your butt off
lyf,life
lyfao,laughing your fucking ass off
lyfe,life
lyk,like
lyk3,like
lyke,like
lyl,love you lots
lysfm,love you so f**king much
lysm,love you so much
lzer,laser
lzr,loser
m,am
m.i.a,Missing In Action
m.o,makeout
m'kay,okay
m/b,maybe
